0install	github.com/0install/0install
aacplus	github.com/savonet/ocaml-aacplus
abella	github.com/abella-prover/abella
absolute	github.com/mpelleau/AbSolute
accessor	github.com/janestreet/accessor
accessor_async	github.com/janestreet/accessor_async
accessor_base	github.com/janestreet/accessor_base
accessor_core	github.com/janestreet/accessor_core
acgtk	gitlab.inria.fr/ACG/dev/ACGtk
acme	github.com/raphael-proust/ocaml-acme
acpc	github.com/UnixJunkie/ACPC
advi	github.com/diremy/advi
afl-persistent	github.com/stedolan/ocaml-afl-persistent
ago	github.com/lindig/ocaml-ago
agrid	github.com/ocamlpro/agrid
ahrocksdb	github.com/ahrefs/ocaml-ahrocksdb
aifad	github.com/mmottl/aifad
alba	github.com/hbr/albatross
albatross	github.com/roburio/albatross
alberto	github.com/selectel/alberto
alcotest	github.com/mirage/alcotest
alg_structs	github.com/shonfeder/alg_structs
aliases	github.com/besport/ocaml-aliases
alsa	github.com/savonet/ocaml-alsa
alt-ergo	github.com/OCamlPro/alt-ergo
amf	github.com/briancaine/ocaml-amf
amqp-client	github.com/andersfugmann/amqp-client
ancient	github.com/UnixJunkie/ocaml-ancient
angstrom	github.com/inhabitedtype/angstrom
annot	github.com/avsm/ocaml-annot
ansi-parse	github.com/jdjakub/ansi-parse
ANSITerminal	github.com/Chris00/ANSITerminal
anthill	github.com/martindemello/anthill
anycache	gitlab.com/edwintorok/ocaml-anycache
ao	github.com/savonet/ocaml-ao
aperf	github.com/philipdexter/aperf
apero-core	github.com/atolab/apero-core
apero-net	github.com/atolab/apero-net
apero-time	github.com/atolab/apero-time
apron	github.com/antoinemine/apron
apronext	github.com/ghilesZ/apronext
arakoon	github.com/openvstorage/arakoon
archetype	github.com/edukera/archetype-lang
archi	github.com/anmonteiro/archi
archsat	scm.gforge.inria.fr/anonscm/git/archsat/archsat
argon2	github.com/Khady/ocaml-argon2
arp	github.com/mirage/arp
art	github.com/dinosaure/art
asak	github.com/nobrakal/asak
ascii85	github.com/lindig/ascii85
asetmap	erratique.ch/repos/asetmap
ask	github.com/uzh/ask
asl	github.com/mirage/ocaml-asl
asli	github.com/alastairreid/asl-interpreter
asn1-combinators	github.com/mirleft/ocaml-asn1-combinators
assertions	github.com/bennn/assertions
assimp	github.com/def-lkb/assimp
astring	erratique.ch/repos/astring
async	github.com/janestreet/async
async_core	github.com/janestreet/async_core
async_durable	github.com/janestreet/async_durable
async_extended	github.com/janestreet/async_extended
async_extra	github.com/janestreet/async_extra
async_find	github.com/janestreet/async_find
async_graphics	github.com/lpw25/async_graphics
async_inotify	github.com/janestreet/async_inotify
iasync_interactive	github.com/janestreet/async_interactive
async_js	github.com/janestreet/async_js
async_kernel	github.com/janestreet/async_kernel
async-mvar	github.com/rgrinberg/async-mvar
async_parallel	github.com/janestreet/async_parallel
async_rpc_kernel	github.com/janestreet/async_rpc_kernel
async_sendfile	github.com/janestreet/async_sendfile
async_shell	github.com/janestreet/async_shell
async_smtp	github.com/janestreet/async_smtp
async_ssl	github.com/janestreet/async_ssl
async_udp	github.com/janestreet/async_udp
async_unix	github.com/janestreet/async_unix
async-uri	github.com/vbmithr/async-uri
async_websocket	github.com/janestreet/async_websocket
async-zmq	github.com/rgrinberg/async-zmq
atable	github.com/ocamlpro/atable
atd	github.com/ahrefs/atd
atd2cconv	github.com/smondet/atd2cconv
atdj	github.com/esperco/atdj
augeas	git.annexia.org/ocaml-augeas
avroc	github.com/sidharthkuruvila/ocaml-avroc
awa	github.com/mirage/awa-ssh
aws	github.com/inhabitedtype/ocaml-aws
aws-s3	github.com/andersfugmann/aws-s3
azblob	github.com/kkazuo/azblob
azure-cosmos-db	bitbucket.org/knaack/azure-cosmos-db
b0	erratique.ch/repos/b0
baardskeerder	github.com/Incubaid/baardskeerder
